Team,Season,JPPG,TRB,AST,FG,3FG,Success
Atlanta Hawks,0,2,7,2,2,3,1
Atlanta Hawks,1,1,4,1,2,4,1
Atlanta Hawks,2,2,4,3,3,4,1
Atlanta Hawks,3,3,6,3,3,3,1
Atlanta Hawks,4,1,3,3,3,2,1
Atlanta Hawks,5,1,4,1,3,2,1
Atlanta Hawks,6,3,6,3,3,3,1
Atlanta Hawks,7,1,5,2,3,2,1
Atlanta Hawks,8,3,6,3,3,3,1
Atlanta Hawks,9,3,5,3,3,3,2
Atlanta Hawks,10,5,6,4,4,4,2
Atlanta Hawks,11,3,4,3,4,2,2
Atlanta Hawks,12,3,5,3,3,3,2
Atlanta Hawks,13,2,4,4,4,2,2
Atlanta Hawks,14,3,3,4,3,3,1
Atlanta Hawks,15,4,3,4,4,3,2
Atlanta Hawks,16,5,5,4,4,3,2
Atlanta Hawks,17,4,5,3,3,3,2
Atlanta Hawks,18,2,3,2,3,3,1
Atlanta Hawks,19,4,5,4,4,3,1
Atlanta Hawks,20,4,2,3,4,3,1
Atlanta Hawks,21,4,5,3,4,4,2
Atlanta Hawks,91,7,7,3,4,2,2
Atlanta Hawks,92,5,7,3,4,1,1
Atlanta Hawks,93,6,7,4,4,3,2
Atlanta Hawks,94,4,6,4,3,2,2
Atlanta Hawks,95,4,5,3,3,3,2
Atlanta Hawks,96,3,5,2,2,3,2
Atlanta Hawks,97,2,6,2,3,3,2
Atlanta Hawks,98,2,6,2,3,1,2
Atlanta Hawks,99,1,6,1,2,2,2
Boston Celtics,0,4,6,2,3,2,1
Boston Celtics,1,3,5,2,2,4,1
Boston Celtics,2,3,5,3,2,3,2
Boston Celtics,3,2,5,2,2,2,2
Boston Celtics,4,2,3,2,3,3,1
Boston Celtics,5,4,4,3,4,2,2
Boston Celtics,6,1,3,2,4,3,1
Boston Celtics,7,1,4,2,3,4,1
Boston Celtics,8,4,5,3,4,4,2
Boston Celtics,9,4,6,3,4,4,2
Boston Celtics,10,3,4,3,4,4,2
Boston Celtics,11,2,3,4,5,5,2
Boston Celtics,12,2,3,4,4,3,2
Boston Celtics,13,2,3,3,4,4,2
Boston Celtics,14,2,4,2,2,2,1
Boston Celtics,15,2,4,2,2,2,1
Boston Celtics,16,5,5,4,3,3,2
Boston Celtics,17,4,4,4,4,4,2
Boston Celtics,18,3,4,3,4,4,2
Boston Celtics,19,5,5,4,4,4,2
Boston Celtics,20,5,5,3,3,4,2
Boston Celtics,21,3,4,2,3,4,2
Boston Celtics,91,6,7,5,4,4,2
Boston Celtics,92,4,6,4,4,4,2
Boston Celtics,93,5,5,5,4,2,2
Boston Celtics,94,4,6,4,4,2,1
Boston Celtics,95,3,5,3,3,4,1
Boston Celtics,96,3,4,3,3,3,1
Boston Celtics,97,4,4,3,3,3,1
Boston Celtics,98,3,4,2,2,2,1
Boston Celtics,99,2,4,2,2,3,1
Brooklyn Nets,13,4,6,2,4,4,2
Brooklyn Nets,14,2,2,2,3,4,2
Brooklyn Nets,15,3,3,2,3,3,1
Brooklyn Nets,16,2,3,3,5,2,1
Brooklyn Nets,17,2,3,1,3,3,1
Brooklyn Nets,18,3,3,3,2,3,1
Brooklyn Nets,19,4,6,3,3,4,2
Brooklyn Nets,20,3,6,3,2,2,1
Brooklyn Nets,21,4,3,3,4,5,2
